%T254,%T215,Flow,UVS,Actual Power,N,RED
88.6,63.33,257.611562,23.18,6.008833333,2,70.98111298
88.6,63.33,257.611562,23.28,6.008833333,2,72.77650842
88.6,63.33,257.611562,23.33,6.008833333,2,73.64681415
93,82.8,189.1203625,24.65,3.544,2,98.09593606
93,82.8,189.1203625,24.68,3.544,2,98.80002508
93,82.8,189.1203625,24.93,3.544,2,103.5538453
90,66.54,47.74936871,28.82,3.473081081,2,189.8087757
90,66.54,47.74936871,28.2,3.473081081,2,174.9859355
90,66.54,47.74936871,28.91,3.473081081,2,192.1155731
95.8,94.166228,383.4396799,25.19,6.544777778,2,106.9930907
95.8,94.166228,383.4396799,25.15,6.544777778,2,106.1333925
95.8,94.166228,383.4396799,25.22,6.544777778,2,107.6543417
95.8,94.2,96.1684351,25.79,2.508791667,2,121.3436238
95.8,94.2,96.1684351,25.77,2.508791667,2,120.7206589
95.8,94.2,96.1684351,25.63,2.508791667,2,117.498384
76.1,28.6,69.84637473,22.31,6.587478261,2,69.38833155
76.1,28.6,69.84637473,22.27,6.587478261,2,68.79046061
76.1,28.6,69.84637473,22.38,6.587478261,2,70.53720455
87.8,61.89,127.9864913,24.47,6.5912,2,104.480342
87.8,61.89,127.9864913,24.54,6.5912,2,105.7825537
87.8,61.89,127.9864913,24.57,6.5912,2,106.3126578
76.1,28.6,140.0285899,20.21,6.595416667,2,40.05293588
76.1,28.6,140.0285899,20.21,6.595416667,2,40.05952348
76.1,28.6,140.0285899,20.14,6.595416667,2,39.17301412
88.92011179,64.6,260.360005,21.12,4.361333333,2,40.54058865
88.92011179,64.6,260.360005,20.75,4.361333333,2,35.37722319
88.92011179,64.6,260.360005,20.65,4.361333333,2,33.99061933
87.90225168,63.1,95.27019571,23.67,4.334583333,2,81.38065302
87.90225168,63.1,95.27019571,23.78,4.334583333,2,83.39490684
87.90225168,63.1,95.27019571,23.8,4.334583333,2,83.71172675
55.59042573,7,46.71436945,20.99,6.578057143,2,38.78180608
55.59042573,7,46.71436945,20.71,6.578057143,2,34.74043359
55.59042573,7,46.71436945,20.76,6.578057143,2,35.46380664
58.61381645,10.1,94.92302397,19.32,4.334583333,2,16.48425814
58.61381645,10.1,94.92302397,19.39,4.334583333,2,17.30400079
58.61381645,10.1,94.92302397,19.26,4.334583333,2,15.68599664
75.1622894,28.6,73.45623762,21.28,4.31525,2,42.91227559
75.1622894,28.6,73.45623762,21.21,4.31525,2,41.95220408
75.1622894,28.6,73.45623762,21.31,4.31525,2,43.32151874
75.33555637,28.6,36.69121878,21.14,2.525413043,2,40.89929638
75.33555637,28.6,36.69121878,21.29,2.525413043,2,43.13674124
75.33555637,28.6,36.69121878,21.24,2.525413043,2,42.39325281
66.68067692,15.4,11.3562,22.73,2.515472527,2,65.46881772
66.68067692,15.4,11.3562,22.63,2.515472527,2,63.79055468
66.68067692,15.4,11.3562,22.73,2.515472527,2,65.46963235
57.67664634,8.2,11.3562,21.22,2.515274725,2,42.06381001
57.67664634,8.2,11.3562,21.21,2.515274725,2,41.86380255
57.67664634,8.2,11.3562,21.22,2.515274725,2,42.01687208
93.4,82.42,335.6368048,4.63,2.026571429,2,23.02837627
93.4,82.42,335.6368048,4.6,2.026571429,2,21.45410236
93.4,82.42,335.6368048,4.56,2.026571429,2,19.52569347
87.6,59.25,379.642431,4.35,1.985714286,2,9.373775783
87.6,59.25,379.642431,4.35,1.985714286,2,9.388703614
87.6,59.25,379.642431,4.35,1.985714286,2,9.476467193
75.5,28.66,330.7274138,4.7,4.361333333,2,10.13449844
75.5,28.66,330.7274138,4.7,4.361333333,2,9.965314869
75.5,28.66,330.7274138,4.7,4.361333333,2,9.263379988
61.09420249,12.4,383.1237922,4.83,6.574,2,9.615606075
61.09420249,12.4,383.1237922,4.83,6.574,2,7.826862228
61.09420249,12.4,383.1237922,4.83,6.574,2,7.479123596
96,94.3,384.942162,22.79,3.281875,1,55.29433821
96,94.3,384.942162,22.73,3.281875,1,54.15598748
96,94.3,384.942162,22.83,3.281875,1,55.97940993
96,94.3,259.9645957,23.31,3.28275,1,65.68776928
96,94.3,259.9645957,23.11,3.28275,1,61.68742903
96,94.3,259.9645957,23.29,3.28275,1,65.21249743
96,94.3,178.6799438,24.92,3.280666667,1,100.8372872
96,94.3,178.6799438,25,3.280666667,1,102.609839
96,94.3,178.6799438,25.22,3.280666667,1,107.6507653
95.8,94.2,234.1700917,22.22,2.169111111,1,44.196473
95.8,94.2,234.1700917,22.24,2.169111111,1,44.6343986
95.8,94.2,234.1700917,22.24,2.169111111,1,44.65464196
95.8,94.2,231.0561058,21,1.24425,1,22.28507615
95.8,94.2,231.0561058,21.02,1.24425,1,22.70923128
95.8,94.2,231.0561058,21.1,1.24425,1,24.06371251
95.8,94.2,59.32056133,24.28,1.246516129,1,86.24724479
95.8,94.2,59.32056133,24.26,1.246516129,1,85.81634708
95.8,94.2,59.32056133,24.15,1.246516129,1,83.55916363
60.7,11.2,25.54384898,21.08,3.278736842,1,27.33719315
60.7,11.2,25.54384898,21.27,3.278736842,1,30.20744426
60.7,11.2,25.54384898,20.98,3.278736842,1,26.02307537
74.9,28.3,25.56487532,23.57,3.277671053,1,67.26777644
74.9,28.3,25.56487532,23.7,3.277671053,1,69.49233709
74.9,28.3,25.56487532,23.46,3.277671053,1,65.30525102
88.6,61.5,59.93621256,25.35,3.270322581,1,100.3566809
88.6,61.5,59.93621256,25.09,3.270322581,1,95.21897627
88.6,61.5,59.93621256,25.42,3.270322581,1,101.6645727
93.6,82.8,87.02486673,27.43,3.27173913,1,144.2196569
93.6,82.8,87.02486673,27.66,3.27173913,1,149.3359345
93.6,82.8,87.02486673,27.68,3.27173913,1,149.63154
75,28.8,141.0226101,20.55,3.276833333,1,19.9084005
75,28.8,141.0226101,20.56,3.276833333,1,20.02500256
75,28.8,141.0226101,20.37,3.276833333,1,17.45561342
88.8,62.1,210.3383425,21.57,3.268208333,1,34.62116832
88.8,62.1,210.3383425,21.59,3.268208333,1,34.92426375
88.8,62.1,210.3383425,21.71,3.268208333,1,36.80080509
93.8,83,333.1021296,22.27,3.272666667,1,45.5064344
93.8,83,333.1021296,22.24,3.272666667,1,44.99335304
93.8,83,333.1021296,22.18,3.272666667,1,44.03081159
93.8,83,332.9189001,21.21,2.1605,1,29.34898972
93.8,83,332.9189001,21.32,2.1605,1,30.87126573
93.8,83,332.9189001,21.16,2.1605,1,28.4991241
58.6,10.8,38.90978178,19.54,2.169166667,1,6.611855383
58.6,10.8,38.90978178,19.91,2.169166667,1,11.4206062
58.6,10.8,38.90978178,19.88,2.169166667,1,11.05024368
77.1,29.4,13.62744,24.33,2.169166667,1,80.79120091
77.1,29.4,13.62744,24.37,2.169166667,1,81.64872494
77.1,29.4,13.62744,24.27,2.169166667,1,79.68310992
93,82.8,31.5586695,24.76,1.113770492,1,88.98316745
93,82.8,31.5586695,24.61,1.113770492,1,86.07578459
93,82.8,31.5586695,24.95,1.113770492,1,92.56196835
77.1,29.3,31.84660163,20.51,1.110163934,1,19.32005697
77.1,29.3,31.84660163,20.56,1.110163934,1,20.04553422
77.1,29.3,31.84660163,20.76,1.110163934,1,22.87609444
96,94.3,383.1465126,4.62,1.246,1,13.06059877
96,94.3,383.1465126,4.6,1.246,1,12.4357579
96,94.3,383.1465126,4.61,1.246,1,12.5935601
95.8,94.2,231.0561058,4.67,1.24425,1,16.27035837
95.8,94.2,231.0561058,4.67,1.24425,1,16.22206239
95.8,94.2,231.0561058,4.68,1.24425,1,16.75567038
60.7,11.2,330.1704571,4.88,3.281111111,1,4.159339641
60.7,11.2,330.1704571,4.88,3.281111111,1,4.432205829
60.7,11.2,330.1704571,4.88,3.281111111,1,4.491404975
88.2,61.5,385.3225465,4.88,2.16325,1,11.1826117
88.2,61.5,385.3225465,4.88,2.16325,1,11.13059059
88.2,61.5,385.3225465,4.88,2.16325,1,11.44975736
75.6,29.2,190.53123,4.88,2.169166667,1,7.825275119
75.6,29.2,190.53123,4.88,2.169166667,1,7.696970464
75.6,29.2,190.53123,4.88,2.169166667,1,7.861003373
88.2,61.4,211.6209492,4.88,1.110163934,1,8.114054335
88.2,61.4,211.6209492,4.88,1.110163934,1,7.658699366
88.2,61.4,211.6209492,4.88,1.110163934,1,8.022094397
58.6,10.8,38.90978178,4.88,2.169166667,1,29.10698638
58.6,10.8,38.90978178,4.88,2.169166667,1,29.44063841
58.6,10.8,38.90978178,4.88,2.169166667,1,29.40042271
